Accuracy of the Classifier on the 100 test images: 66.86274509803921 %
bed	63.333333333333336%
beer-mug	73.33333333333333%
bench	50.0%
bicycle	83.33333333333333%
cabinet	30.0%
chair	76.66666666666667%
couch	50.0%
door	70.0%
floor_lamp	70.0%
ladder	93.33333333333333%
laptop	90.0%
piano	46.666666666666664%
potted_plant	80.0%
table	70.0%
tablelamp	66.66666666666667%
tv	60.0%
vase	56.666666666666664%
PR Curve
0.05	0.2246331690587097
0.1	0.206545075695829
0.15000000000000002	0.20580979393256707
0.2	0.206877146884581
0.25	0.20480046934172816
0.3	0.20756775700456281
0.35	0.20656162710375103
0.39999999999999997	0.20393513390849075
0.44999999999999996	0.20143923390695012
0.49999999999999994	0.20294477460801974
0.5499999999999999	0.19505618015074475
0.6	0.19535012206499805
0.65	0.1934349609409558
0.7000000000000001	0.19284882634706516
0.7500000000000001	0.18863967290740818
0.8000000000000002	0.18387845562771138
0.8500000000000002	0.18064222786577283
0.9000000000000002	0.17296038135629388
0.9500000000000003	0.16821658393303246
PR Curve With MPA
0.05	0.21558912237726935
0.1	0.21232934622903524
0.15000000000000002	0.2109662963929217
0.2	0.2060081214636763
0.25	0.20626379179085974
0.3	0.20645175008365577
0.35	0.2057162468396332
0.39999999999999997	0.20487593798093867
0.44999999999999996	0.2037201923818029
0.49999999999999994	0.20084383064355135
0.5499999999999999	0.19869757768267815
0.6	0.19669650944117958
0.65	0.19417252237594093
0.7000000000000001	0.1925683955651068
0.7500000000000001	0.18970047895578512
0.8000000000000002	0.1865022956869894
0.8500000000000002	0.18153018443929658
0.9000000000000002	0.17642441219570265
0.9500000000000003	0.16807899935299894
1.0	0.16389125651540762
